id,title,authors,subjects,abs_link,pdf_link
arXiv:2507.06224,EC-Flow: Enabling Versatile Robotic Manipulation from Action-Unlabeled Videos via Embodiment-Centric Flow,"Yixiang Chen, Peiyan Li, Yan Huang, Jiabing Yang, Kehan Chen, Liang Wang",Robotics (cs.RO); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06224,https://arxiv.org/pdf/2507.06224
arXiv:2507.06223,Efficiency-Effectiveness Reranking FLOPs for LLM-based Rerankers,"Zhiyuan Peng, Ting-ruen Wei, Tingyu Song, Yilun Zhao, Yi Fang",Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2507.06223,https://arxiv.org/pdf/2507.06223
arXiv:2507.06219,Is Diversity All You Need for Scalable Robotic Manipulation?,"Modi Shi, Li Chen, Jin Chen, Yuxiang Lu, Chiming Liu, Guanghui Ren, Ping Luo, Di Huang, Maoqing Yao, Hongyang Li",Robotics (cs.RO); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2507.06219,https://arxiv.org/pdf/2507.06219
arXiv:2507.06204,Differential Mamba,"Nadav Schneider, Itamar Zimerman, Eliya Nachmani",Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computation and Language (cs.CL),https://arxiv.org/abs/2507.06204,https://arxiv.org/pdf/2507.06204
arXiv:2507.06196,UQLM: A Python Package for Uncertainty Quantification in Large Language Models,"Dylan Bouchard, Mohit Singh Chauhan, David Skarbrevik, Ho-Kyeong Ra, Viren Bajaj, Zeya Ahmad",Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2507.06196,https://arxiv.org/pdf/2507.06196
arXiv:2507.06192,SQLBarber: A System Leveraging Large Language Models to Generate Customized and Realistic SQL Workloads,"Jiale Lao, Immanuel Trummer",Databases (cs.DB); Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Machine Learning (cs.LG),https://arxiv.org/abs/2507.06192,https://arxiv.org/pdf/2507.06192
arXiv:2507.06189,DS@GT at CheckThat! 2025: Detecting Subjectivity via Transfer-Learning and Corrective Data Augmentation,"Maximilian Heil, Dionne Bang",Computation and Language (cs.CL); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06189,https://arxiv.org/pdf/2507.06189
arXiv:2507.06185,Hidden Prompts in Manuscripts Exploit AI-Assisted Peer Review,Zhicheng Lin,Computers and Society (cs.CY); Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Human-Computer Interaction (cs.HC),https://arxiv.org/abs/2507.06185,https://arxiv.org/pdf/2507.06185
arXiv:2507.06174,Fast Bilateral Teleoperation and Imitation Learning Using Sensorless Force Control via Accurate Dynamics Model,"Koki Yamane, Yunhan Li, Masashi Konosu, Koki Inami, Junji Oaki, Sho Sakaino, Toshiaki Tsuji",Robotics (cs.RO); Artificial Intelligence (cs.AI); Systems and Control (eess.SY),https://arxiv.org/abs/2507.06174,https://arxiv.org/pdf/2507.06174
arXiv:2507.06173,A Method for Optimizing Connections in Differentiable Logic Gate Networks,"Wout Mommen, Lars Keuninckx, Matthias Hartmann, Piet Wambacq",Machine Learning (cs.LG); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06173,https://arxiv.org/pdf/2507.06173
